=== ppl_streaming start 2026-08-16 00:27:42 ===
corpus /Users/kk/work/research/dsv4-streaming/streaming/../logs/ppl_corpus.npy (200,000 tokens, 195 windows available); running first 195 windows x 1024 tokens; cache 8.0 GB, store lru
[store] prefill (get_many) reads: page-cached; insert policy: fill-no-evict
[load] resident weights in 0.9s (9.4 GB active)
[load] done in 0.9s
[win 37/195] nll_sum 2084.28 over 1023 tok  ppl 7.6708  cumulative ppl 5.4906  76s (13.47 tok/s)  store {'hits': 20336, 'misses': 311241, 'hit_rate': 0.0613, 'read_gb': 4405.86, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 310676}  mem peak 25.3 GB
[win 38/195] nll_sum 1048.64 over 1023 tok  ppl 2.7873  cumulative ppl 5.3935  77s (13.34 tok/s)  store {'hits': 20901, 'misses': 319784, 'hit_rate': 0.0613, 'read_gb': 4526.79, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 319219}  mem peak 25.3 GB
[win 39/195] nll_sum 1162.98 over 1023 tok  ppl 3.1169  cumulative ppl 5.3182  81s (12.70 tok/s)  store {'hits': 21466, 'misses': 328083, 'hit_rate': 0.0614, 'read_gb': 4644.27, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 327518}  mem peak 25.3 GB
[win 40/195] nll_sum 1846.15 over 1023 tok  ppl 6.0778  cumulative ppl 5.3360  77s (13.22 tok/s)  store {'hits': 22030, 'misses': 336392, 'hit_rate': 0.0615, 'read_gb': 4761.89, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 335827}  mem peak 25.3 GB
[win 41/195] nll_sum 1801.36 over 1023 tok  ppl 5.8174  cumulative ppl 5.3472  75s (13.57 tok/s)  store {'hits': 22595, 'misses': 344571, 'hit_rate': 0.0615, 'read_gb': 4877.67, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 344006}  mem peak 25.3 GB
[win 42/195] nll_sum 1946.89 over 1023 tok  ppl 6.7068  cumulative ppl 5.3761  79s (13.00 tok/s)  store {'hits': 23160, 'misses': 352920, 'hit_rate': 0.0616, 'read_gb': 4995.86, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 352355}  mem peak 25.3 GB
[win 43/195] nll_sum 1821.11 over 1023 tok  ppl 5.9308  cumulative ppl 5.3884  76s (13.44 tok/s)  store {'hits': 23725, 'misses': 361383, 'hit_rate': 0.0616, 'read_gb': 5115.66, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 360818}  mem peak 25.3 GB
[win 44/195] nll_sum 2085.20 over 1023 tok  ppl 7.6777  cumulative ppl 5.4320  78s (13.21 tok/s)  store {'hits': 24290, 'misses': 369708, 'hit_rate': 0.0617, 'read_gb': 5233.5, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 369143}  mem peak 25.3 GB
[win 45/195] nll_sum 2025.60 over 1023 tok  ppl 7.2432  cumulative ppl 5.4668  79s (13.02 tok/s)  store {'hits': 24855, 'misses': 377942, 'hit_rate': 0.0617, 'read_gb': 5350.06, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 377377}  mem peak 25.3 GB
[win 46/195] nll_sum 1822.14 over 1023 tok  ppl 5.9368  cumulative ppl 5.4766  73s (14.10 tok/s)  store {'hits': 25419, 'misses': 386091, 'hit_rate': 0.0618, 'read_gb': 5465.42, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 385526}  mem peak 25.3 GB
[win 47/195] nll_sum 1911.72 over 1023 tok  ppl 6.4801  cumulative ppl 5.4963  77s (13.31 tok/s)  store {'hits': 25984, 'misses': 394468, 'hit_rate': 0.0618, 'read_gb': 5584.0, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 393903}  mem peak 25.3 GB
[win 48/195] nll_sum 2145.01 over 1023 tok  ppl 8.1400  cumulative ppl 5.5414  77s (13.34 tok/s)  store {'hits': 26549, 'misses': 402755, 'hit_rate': 0.0618, 'read_gb': 5701.31, 'cached_gb': 8.0, 'decode_hits': 0, 'decode_misses': 0, 'decode_read_gb': 0.0, 'noevict_skipped': 402190}  mem peak 25.3 GB
